Factor,Date
D-1641,10/1/2024
D-1641,10/2/2024
D-1641,10/3/2024
D-1641,10/4/2024
D-1641,10/5/2024
D-1641,10/6/2024
D-1641,10/7/2024
D-1641,10/8/2024
D-1641,10/9/2024
D-1641,10/10/2024
D-1641,10/11/2024
D-1641,10/12/2024
D-1641,10/13/2024
D-1641,10/14/2024
D-1641,10/15/2024
D-1641,10/16/2024
D-1641,10/17/2024
D-1641,10/18/2024
D-1641,10/19/2024
D-1641,10/20/2024
D-1641,10/21/2024
D-1641,10/22/2024
D-1641,10/23/2024
D-1641,10/24/2024
D-1641,10/25/2024
D-1641,10/26/2024
D-1641,10/27/2024
D-1641,10/28/2024
D-1641,10/29/2024
D-1641,10/30/2024
D-1641,10/31/2024
D-1641,11/1/2024
D-1641,11/2/2024
D-1641,11/3/2024
D-1641,11/4/2024
D-1641 Delta Outflow,11/5/2024
D-1641 Delta Outflow,11/6/2024
D-1641 Delta Outflow,11/7/2024
D-1641 Delta Outflow,11/8/2024
D-1641 Delta Outflow,11/9/2024
D-1641 Delta Outflow,11/10/2024
D-1641 Delta Outflow,11/11/2024
D-1641 Delta Outflow,11/12/2024
D-1641 Delta Outflow,11/13/2024
D-1641 Delta Outflow,11/14/2024
D-1641 Delta Outflow,11/15/2024
D-1641 Delta Outflow,11/16/2024
D-1641 Delta Outflow,11/17/2024
D-1641,11/18/2024
D-1641,11/19/2024
D-1641,11/20/2024
D-1641,11/21/2024
D-1641,11/22/2024
D-1641,11/23/2024
D-1641,11/24/2024
,11/25/2024
,11/26/2024
,11/27/2024
,11/28/2024
,11/29/2024
,11/30/2024
,12/1/2024
,12/2/2024
,12/3/2024
,12/4/2024
,12/5/2024
,12/6/2024
,12/7/2024
,12/8/2024
,12/9/2024
,12/10/2024
,12/11/2024
,12/12/2024
,12/13/2024
,12/14/2024
,12/15/2024
,12/16/2024
,12/17/2024
,12/18/2024
First Flush (Turbidity Event),12/19/2024
First Flush (Turbidity Event),12/20/2024
First Flush (Turbidity Event),12/21/2024
First Flush (Turbidity Event),12/22/2024
First Flush (Turbidity Event),12/23/2024
First Flush (Turbidity Event),12/24/2024
First Flush (Turbidity Event),12/25/2024
First Flush (Turbidity Event),12/26/2024
First Flush (Turbidity Event),12/27/2024
First Flush (Turbidity Event),12/28/2024
First Flush (Turbidity Event),12/29/2024
First Flush (Turbidity Event),12/30/2024
First Flush (Turbidity Event),12/31/2024
First Flush (Turbidity Event),1/1/2025
First Flush (Turbidity Event),1/2/2025
OMR Flow Management,1/3/2025
OMR Flow Management,1/4/2025
OMR Flow Management,1/5/2025
OMR Flow Management,1/6/2025
OMR Flow Management,1/7/2025
OMR Flow Management,1/8/2025
OMR Flow Management,1/9/2025
OMR Flow Management,1/10/2025
OMR Flow Management,1/11/2025
OMR Flow Management,1/12/2025
OMR Flow Management,1/13/2025
OMR Flow Management,1/14/2025
