Sample Time, Facility, Species, Adipose Clip, LAD Race, DNA Race, CWT Race, CWT tagcode, CWT Hatch, CWT Release Type, CWT Release Start, CWT Release End, CWT Release Span Days, CWT Release Location, CWT Release Information Source, Days from Release End to Sample Time, Count Duration (minutes), Pumping Duration (minutes), Sample Fraction, Study Type, Length, nfish, Expanded Salvage, Loss, DNA Sample ID, Genetic Probability, Length Row ID,14-day OMRI
1/1/1993 1:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,15,180,0.08,Normal count,135,1,12,52.94,,,766063,
1/1/1993 1:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,15,180,0.08,Normal count,138,1,12,52.94,,,586821,
1/1/1993 5:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,15,120,0.12,Normal count,152,1,8,35.14,,,97431,
1/1/1993 8:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,15,180,0.08,Normal count,148,1,12,52.42,,,543001,
1/1/1993 9:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,15,60,0.25,Normal count,149,1,4,17.17,,,31775,
1/1/1993 9:00,SWP,Chinook Salmon,Clipped,LateFall,,Fall,066340,MOK,Production & Experimental,10/27/1992,10/28/1992,2,MOK R FISH INS,RMIS,65,15,60,0.25,Normal count,156,1,4,17.17,,,752622,
1/1/1993 19:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,15,120,0.12,Normal count,134,1,8,34.98,,,20839,
1/2/1993 1:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,15,180,0.08,Normal count,134,1,12,52.86,,,420042,
1/2/1993 13:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,180,240,0.75,Normal count,104,1,1.33,5.73,,,840490,
1/2/1993 13:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,180,240,0.75,Normal count,119,1,1.33,5.73,,,791435,
1/2/1993 13:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,180,240,0.75,Normal count,121,1,1.33,5.73,,,1146009,
1/2/1993 13:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,180,240,0.75,Normal count,139,1,1.33,5.73,,,1170522,
1/2/1993 13:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,180,240,0.75,Normal count,149,1,1.33,5.73,,,96814,
1/2/1993 13:00,SWP,Chinook Salmon,Unclipped,LateFall,,,,,,,,,,,,180,240,0.75,Normal count,159,1,1.33,5.73,,,122049,
1/2/1993 15:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,20,120,0.17,Normal count,140,1,6,26.24,,,217882,
1/2/1993 17:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,30,120,0.25,Normal count,116,1,4,17.56,,,383785,
1/2/1993 19:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,30,120,0.25,Normal count,127,1,4,17.49,,,428922,
1/2/1993 19:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,30,120,0.25,Normal count,130,1,4,17.49,,,1074109,
1/2/1993 22:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,20,180,0.11,Normal count,138,1,9,39.08,,,235556,
1/3/1993 8:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,15,180,0.08,Normal count,129,1,12,52.79,,,36103,
1/3/1993 13:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,240,240,1,Normal count,102,1,1,4.46,,,682856,
1/3/1993 13:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,240,240,1,Normal count,154,1,1,4.46,,,1088364,
1/3/1993 17:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,60,120,0.5,Normal count,121,1,2,8.49,,,951406,
1/4/1993 10:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,20,120,0.17,Normal count,133,1,6,32.88,,,459632,
1/4/1993 22:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,30,180,0.17,Normal count,140,1,6,27.82,,,368512,
